question_index,query_log_id,mode,question,rule_based_task_completed,gold_rule_groups,human_reviewer_decision,human_reviewer_comment
1,446,project_rag,PCR 条件优化实验的退火温度优化依据是什么？,false,"[[""58℃"", ""58°C""], [""条带最清晰"", ""条带清晰""], [""非特异性""]]",,
1,447,kg_enhanced_rag,PCR 条件优化实验的退火温度优化依据是什么？,true,"[[""58℃"", ""58°C""], [""条带最清晰"", ""条带清晰""], [""非特异性""]]",,
2,448,project_rag,PCR 体系配置和循环条件主要来自哪份资料？,true,"[[""PCR_protocol_demo.txt""]]",,
2,449,kg_enhanced_rag,PCR 体系配置和循环条件主要来自哪份资料？,true,"[[""PCR_protocol_demo.txt""]]",,
3,450,project_rag,CCK-8 检测步骤和读数要求主要来自哪份资料？,true,"[[""cell_assay_reference_demo.txt""]]",,
3,451,kg_enhanced_rag,CCK-8 检测步骤和读数要求主要来自哪份资料？,true,"[[""cell_assay_reference_demo.txt""]]",,
4,452,project_rag,细胞活力检测实验中读数和统计应关注什么？,true,"[[""读数""], [""统计""]]",,
4,453,kg_enhanced_rag,细胞活力检测实验中读数和统计应关注什么？,true,"[[""读数""], [""统计""]]",,
5,454,project_rag,项目资料库中哪些资料已经同步到知识库？,true,"[[""无法确认"", ""无法回答""]]",,
5,455,kg_enhanced_rag,项目资料库中哪些资料已经同步到知识库？,true,"[[""无法确认"", ""无法回答""]]",,
6,456,project_rag,PCR 条件优化实验使用了哪些试剂？,false,"[[""Taq DNA Polymerase""], [""dNTP""], [""MgCl2""], [""模板 DNA"", ""模板DNA""]]",,
6,457,kg_enhanced_rag,PCR 条件优化实验使用了哪些试剂？,true,"[[""Taq DNA Polymerase""], [""dNTP""], [""MgCl2""], [""模板 DNA"", ""模板DNA""]]",,
7,458,project_rag,PCR 条件优化实验使用了哪些样本？,false,"[[""样本 A"", ""样本A""], [""样本 B"", ""样本B""]]",,
7,459,kg_enhanced_rag,PCR 条件优化实验使用了哪些样本？,true,"[[""样本 A"", ""样本A""], [""样本 B"", ""样本B""]]",,
8,460,project_rag,细胞活力检测实验使用了哪些试剂和仪器？,false,"[[""CCK-8""], [""PBS""], [""DMEM""], [""酶标仪""], [""CO2 培养箱"", ""CO₂培养箱""]]",,
8,461,kg_enhanced_rag,细胞活力检测实验使用了哪些试剂和仪器？,true,"[[""CCK-8""], [""PBS""], [""DMEM""], [""酶标仪""], [""CO2 培养箱"", ""CO₂培养箱""]]",,
9,462,project_rag,Western Blot 蛋白表达验证使用了哪些试剂？,false,"[[""RIPA""], [""BCA""], [""一抗""], [""二抗""]]",,
9,463,kg_enhanced_rag,Western Blot 蛋白表达验证使用了哪些试剂？,true,"[[""RIPA""], [""BCA""], [""一抗""], [""二抗""]]",,
10,464,project_rag,Western Blot 蛋白表达验证使用了哪些仪器？,false,"[[""电泳仪""], [""转膜仪""], [""凝胶成像系统""]]",,
10,465,kg_enhanced_rag,Western Blot 蛋白表达验证使用了哪些仪器？,true,"[[""电泳仪""], [""转膜仪""], [""凝胶成像系统""]]",,
11,466,project_rag,退火温度 58℃ 条带最清晰这一结果来自哪条实验笔记？,false,"[[""PCR 条件优化实验""]]",,
11,467,kg_enhanced_rag,退火温度 58℃ 条带最清晰这一结果来自哪条实验笔记？,true,"[[""PCR 条件优化实验""]]",,
12,468,project_rag,处理组细胞活力下降约 18% 这一结论来自哪条实验笔记？,false,"[[""细胞活力检测实验""]]",,
12,469,kg_enhanced_rag,处理组细胞活力下降约 18% 这一结论来自哪条实验笔记？,true,"[[""细胞活力检测实验""]]",,
13,470,project_rag,处理组目标蛋白表达降低这一结果来自哪条实验笔记？,false,"[[""Western Blot 蛋白表达验证""]]",,
13,471,kg_enhanced_rag,处理组目标蛋白表达降低这一结果来自哪条实验笔记？,false,"[[""Western Blot 蛋白表达验证""]]",,
14,472,project_rag,三条实验笔记分别由谁创建？,false,"[[""系统管理员""]]",,
14,473,kg_enhanced_rag,三条实验笔记分别由谁创建？,true,"[[""系统管理员""]]",,
15,474,project_rag,当前项目包含哪些已审核实验笔记？,false,"[[""PCR 条件优化实验""], [""细胞活力检测实验""], [""Western Blot 蛋白表达验证""], [""qPCR 定量验证实验""], [""细胞传代与冻存记录""], [""质粒提取与酶切鉴定""], [""细胞转染效率优化""], [""蛋白浓度标准曲线测定""], [""SDS-PAGE 凝胶配制与电泳""], [""细胞凋亡检测实验""], [""RNA 提取与逆转录""], [""免疫荧光染色实验""], [""克隆形成实验""], [""ELISA 检测实验""], [""质粒测序结果分析""]]",,
15,475,kg_enhanced_rag,当前项目包含哪些已审核实验笔记？,false,"[[""PCR 条件优化实验""], [""细胞活力检测实验""], [""Western Blot 蛋白表达验证""], [""qPCR 定量验证实验""], [""细胞传代与冻存记录""], [""质粒提取与酶切鉴定""], [""细胞转染效率优化""], [""蛋白浓度标准曲线测定""], [""SDS-PAGE 凝胶配制与电泳""], [""细胞凋亡检测实验""], [""RNA 提取与逆转录""], [""免疫荧光染色实验""], [""克隆形成实验""], [""ELISA 检测实验""], [""质粒测序结果分析""]]",,
16,476,project_rag,2026 年 6 月 3 日至 6 月 5 日项目完成了哪些实验？,false,"[[""PCR 条件优化实验""], [""细胞活力检测实验""], [""Western Blot 蛋白表达验证""]]",,
16,477,kg_enhanced_rag,2026 年 6 月 3 日至 6 月 5 日项目完成了哪些实验？,false,"[[""PCR 条件优化实验""], [""细胞活力检测实验""], [""Western Blot 蛋白表达验证""]]",,
17,478,project_rag,这三项实验分别产生了哪些主要结果？,false,"[[""58℃"", ""58°C""], [""18%""], [""目标蛋白"", ""蛋白表达降低""]]",,
17,479,kg_enhanced_rag,这三项实验分别产生了哪些主要结果？,false,"[[""58℃"", ""58°C""], [""18%""], [""目标蛋白"", ""蛋白表达降低""]]",,
18,480,project_rag,项目中涉及的主要试剂可以按实验类型如何归纳？,false,"[[""PCR""], [""Taq DNA Polymerase"", ""SYBR Green""], [""细胞培养"", ""细胞活力""], [""CCK-8"", ""DMEM""], [""Western Blot""], [""RIPA"", ""BCA""], [""质粒""], [""Lipofectamine"", ""EcoRI"", ""HindIII""]]",,
18,481,kg_enhanced_rag,项目中涉及的主要试剂可以按实验类型如何归纳？,false,"[[""PCR""], [""Taq DNA Polymerase"", ""SYBR Green""], [""细胞培养"", ""细胞活力""], [""CCK-8"", ""DMEM""], [""Western Blot""], [""RIPA"", ""BCA""], [""质粒""], [""Lipofectamine"", ""EcoRI"", ""HindIII""]]",,
19,482,project_rag,项目中涉及的主要仪器可以按实验类型如何归纳？,false,"[[""PCR Thermal Cycler"", ""荧光定量 PCR 仪""], [""酶标仪""], [""电泳仪""], [""转膜仪""], [""凝胶成像系统""], [""离心机""]]",,
19,483,kg_enhanced_rag,项目中涉及的主要仪器可以按实验类型如何归纳？,false,"[[""PCR Thermal Cycler"", ""荧光定量 PCR 仪""], [""酶标仪""], [""电泳仪""], [""转膜仪""], [""凝胶成像系统""], [""离心机""]]",,
20,484,project_rag,根据当前实验记录，项目下一步可以重点复核哪些结果？,false,"[[""复核""], [""99.8%"", ""320 pg/mL"", ""8%"", ""A260/280""]]",,
20,485,kg_enhanced_rag,根据当前实验记录，项目下一步可以重点复核哪些结果？,true,"[[""复核""], [""99.8%"", ""320 pg/mL"", ""8%"", ""A260/280""]]",,
