relation_id,note_id,note_title,source_label,relation_type,target_label,confidence,source_type,gold_verdict,gold_basis,author_signoff
1,1,PCR 条件优化实验,论文演示项目：KG-RAG 实验流程,has_note,PCR 条件优化实验,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
2,1,PCR 条件优化实验,PCR 条件优化实验,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
3,1,PCR 条件优化实验,PCR 条件优化实验,has_experiment_type,PCR,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
4,1,PCR 条件优化实验,PCR 条件优化实验,uses_reagent,Taq DNA Polymerase,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
5,1,PCR 条件优化实验,PCR 条件优化实验,uses_reagent,dNTP,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
6,1,PCR 条件优化实验,PCR 条件优化实验,uses_reagent,MgCl2,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
7,1,PCR 条件优化实验,PCR 条件优化实验,uses_reagent,模板 DNA,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
8,1,PCR 条件优化实验,PCR 条件优化实验,uses_instrument,PCR Thermal Cycler,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
9,1,PCR 条件优化实验,PCR 条件优化实验,uses_sample,样本 A,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
10,1,PCR 条件优化实验,PCR 条件优化实验,uses_sample,样本 B,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
11,1,PCR 条件优化实验,PCR 条件优化实验,produces_result,退火温度 58℃ 时扩增条带最清晰，非特异性条带减少。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
12,1,PCR 条件优化实验,PCR 条件优化实验,produces_result,58℃ 条件下条带清晰。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
13,2,细胞活力检测实验,论文演示项目：KG-RAG 实验流程,has_note,细胞活力检测实验,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
14,2,细胞活力检测实验,细胞活力检测实验,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
15,2,细胞活力检测实验,细胞活力检测实验,has_experiment_type,细胞培养,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
16,2,细胞活力检测实验,细胞活力检测实验,uses_reagent,CCK-8,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
17,2,细胞活力检测实验,细胞活力检测实验,uses_reagent,PBS,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
18,2,细胞活力检测实验,细胞活力检测实验,uses_reagent,DMEM 培养基,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
19,2,细胞活力检测实验,细胞活力检测实验,uses_instrument,酶标仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
20,2,细胞活力检测实验,细胞活力检测实验,uses_instrument,CO2 培养箱,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
21,2,细胞活力检测实验,细胞活力检测实验,uses_sample,处理组细胞,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
22,2,细胞活力检测实验,细胞活力检测实验,uses_sample,对照组细胞,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
23,2,细胞活力检测实验,细胞活力检测实验,produces_result,处理组细胞活力较对照组下降约 18%，重复孔结果稳定。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
24,2,细胞活力检测实验,细胞活力检测实验,produces_result,细胞活力下降约 18%。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
25,3,Western Blot 蛋白表达验证,论文演示项目：KG-RAG 实验流程,has_note,Western Blot 蛋白表达验证,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
26,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
27,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,has_experiment_type,Western Blot,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
28,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_reagent,RIPA 裂解液,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
29,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_reagent,BCA 试剂盒,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
30,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_reagent,一抗,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
31,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_reagent,二抗,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
32,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_instrument,电泳仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
33,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_instrument,转膜仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
34,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_instrument,凝胶成像系统,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
35,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_sample,蛋白样本 P1,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
36,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,uses_sample,蛋白样本 P2,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
37,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,produces_result,目标蛋白在处理组表达降低，内参条带稳定。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
38,3,Western Blot 蛋白表达验证,Western Blot 蛋白表达验证,produces_result,处理组目标蛋白表达降低。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
477,12,qPCR 定量验证实验,论文演示项目：KG-RAG 实验流程,has_note,qPCR 定量验证实验,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
478,12,qPCR 定量验证实验,qPCR 定量验证实验,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
479,12,qPCR 定量验证实验,qPCR 定量验证实验,has_experiment_type,PCR,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
480,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_reagent,SYBR Green Master Mix,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
481,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_reagent,cDNA 模板,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
482,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_reagent,引物对,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
483,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_reagent,无酶水,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
484,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_instrument,荧光定量 PCR 仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
485,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_instrument,微量分光光度计,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
486,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_sample,cDNA 样本 1,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
487,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_sample,cDNA 样本 2,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
488,12,qPCR 定量验证实验,qPCR 定量验证实验,uses_sample,阴性对照,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
489,12,qPCR 定量验证实验,qPCR 定量验证实验,produces_result,目标基因在样本 1 中表达量约为样本 2 的 2.3 倍，融解曲线单一峰。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
490,12,qPCR 定量验证实验,qPCR 定量验证实验,produces_result,目标基因差异表达约 2.3 倍。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
