blind_id,question_index,query_log_id,mode
B01,14,473,kg_enhanced_rag
B02,5,454,project_rag
B03,9,463,kg_enhanced_rag
B04,5,455,kg_enhanced_rag
B05,3,450,project_rag
B06,12,468,project_rag
B07,18,481,kg_enhanced_rag
B08,19,482,project_rag
B09,19,483,kg_enhanced_rag
B10,8,461,kg_enhanced_rag
B11,7,459,kg_enhanced_rag
B12,1,447,kg_enhanced_rag
B13,17,479,kg_enhanced_rag
B14,20,485,kg_enhanced_rag
B15,1,446,project_rag
B16,15,474,project_rag
B17,6,457,kg_enhanced_rag
B18,10,464,project_rag
B19,7,458,project_rag
B20,4,452,project_rag
B21,15,475,kg_enhanced_rag
B22,18,480,project_rag
B23,13,470,project_rag
B24,16,476,project_rag
B25,9,462,project_rag
B26,6,456,project_rag
B27,10,465,kg_enhanced_rag
B28,20,484,project_rag
B29,2,449,kg_enhanced_rag
B30,3,451,kg_enhanced_rag
B31,11,467,kg_enhanced_rag
B32,16,477,kg_enhanced_rag
B33,14,472,project_rag
B34,8,460,project_rag
B35,11,466,project_rag
B36,17,478,project_rag
B37,2,448,project_rag
B38,13,471,kg_enhanced_rag
B39,12,469,kg_enhanced_rag
B40,4,453,kg_enhanced_rag
