mode,question_id,evidence_id,score
bm25,Q01,chunk:GSE111619_family.soft:0:80d433564abe,15.034662266
bm25,Q01,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,12.1740642751
bm25,Q01,chunk:GSE111619_family.soft:3:d5c4e36fc6d1,11.2250302795
bm25,Q01,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,10.0578901409
bm25,Q01,chunk:GSE111619_family.soft:12:70d15f8f2b25,9.2159009818
bm25,Q01,chunk:GSE111619_family.soft:27:0811d4a4f618,9.0931228611
bm25,Q01,chunk:GSE111619_family.soft:20:9af496ac6e9a,9.0210138101
bm25,Q01,chunk:GSE111619_family.soft:5:5769fda80faf,6.4383939316
bm25,Q01,chunk:GSE111619_family.soft:4:00eb8f492584,6.4131130423
bm25,Q01,chunk:GSE111619_family.soft:35:a3b6b9cab079,5.9651892994
bm25,Q01,chunk:GSE111619_series_matrix.txt:4:d2206f015b53,4.856439805
bm25,Q01,chunk:gse111619_samples.csv:0:a333971634bd,4.7574174573
bm25,Q01,chunk:GSE111619_family.soft:28:42d7ef4e1753,4.5710124359
bm25,Q01,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,0.0
bm25,Q01,chunk:GSE111619_HTSeq_counts.txt:100:23364a304d84,0.0
bm25,Q01,chunk:GSE111619_HTSeq_counts.txt:101:974f8ca28a15,0.0
bm25,Q01,chunk:GSE111619_HTSeq_counts.txt:102:831020591730,0.0
bm25,Q01,chunk:GSE111619_HTSeq_counts.txt:103:959629736e1e,0.0
bm25,Q01,chunk:GSE111619_HTSeq_counts.txt:104:6b75d48d1c61,0.0
bm25,Q01,chunk:GSE111619_HTSeq_counts.txt:105:997661cff060,0.0
vector,Q01,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.5730833993
vector,Q01,chunk:GSE111619_family.soft:19:babb5501a21a,0.5552103334
vector,Q01,chunk:GSE111619_family.soft:12:70d15f8f2b25,0.5551086614
vector,Q01,chunk:GSE111619_family.soft:26:daada7b1edf2,0.5488278095
vector,Q01,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,0.5481521528
vector,Q01,chunk:GSE111619_series_matrix.txt:23:07049a428c04,0.5480611223
vector,Q01,chunk:GSE111619_family.soft:4:00eb8f492584,0.5460196843
vector,Q01,chunk:GSE111619_family.soft:20:9af496ac6e9a,0.5447658831
