relation_id,note_id,source_label,relation_type,target_label,confidence,source_type,gold_verdict,gold_basis,author_signoff
1926,9,论文演示项目：KG-RAG 实验流程,has_note,PCR 条件优化实验,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1927,9,PCR 条件优化实验,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1928,9,PCR 条件优化实验,has_experiment_type,PCR,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1929,9,PCR 条件优化实验,uses_reagent,Taq DNA Polymerase,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1930,9,PCR 条件优化实验,uses_reagent,dNTP,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1931,9,PCR 条件优化实验,uses_reagent,MgCl2,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1932,9,PCR 条件优化实验,uses_reagent,模板 DNA,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1933,9,PCR 条件优化实验,uses_instrument,PCR Thermal Cycler,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1934,9,PCR 条件优化实验,uses_sample,样本 A,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1935,9,PCR 条件优化实验,uses_sample,样本 B,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1936,9,PCR 条件优化实验,produces_result,退火温度 58℃ 时扩增条带最清晰，非特异性条带减少。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1937,9,PCR 条件优化实验,produces_result,58℃ 条件下条带清晰。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1938,10,论文演示项目：KG-RAG 实验流程,has_note,细胞活力检测实验,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1939,10,细胞活力检测实验,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1940,10,细胞活力检测实验,has_experiment_type,细胞培养,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1941,10,细胞活力检测实验,uses_reagent,CCK-8,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1942,10,细胞活力检测实验,uses_reagent,PBS,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1943,10,细胞活力检测实验,uses_reagent,DMEM 培养基,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1944,10,细胞活力检测实验,uses_instrument,酶标仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1945,10,细胞活力检测实验,uses_instrument,CO2 培养箱,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1946,10,细胞活力检测实验,uses_sample,处理组细胞,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1947,10,细胞活力检测实验,uses_sample,对照组细胞,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1948,10,细胞活力检测实验,produces_result,处理组细胞活力较对照组下降约 18%，重复孔结果稳定。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1949,10,细胞活力检测实验,produces_result,细胞活力下降约 18%。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1950,11,论文演示项目：KG-RAG 实验流程,has_note,Western Blot 蛋白表达验证,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1951,11,Western Blot 蛋白表达验证,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1952,11,Western Blot 蛋白表达验证,has_experiment_type,Western Blot,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1953,11,Western Blot 蛋白表达验证,uses_reagent,RIPA 裂解液,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1954,11,Western Blot 蛋白表达验证,uses_reagent,BCA 试剂盒,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1955,11,Western Blot 蛋白表达验证,uses_reagent,一抗,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1956,11,Western Blot 蛋白表达验证,uses_reagent,二抗,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1957,11,Western Blot 蛋白表达验证,uses_instrument,电泳仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1958,11,Western Blot 蛋白表达验证,uses_instrument,转膜仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1959,11,Western Blot 蛋白表达验证,uses_instrument,凝胶成像系统,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1960,11,Western Blot 蛋白表达验证,uses_sample,蛋白样本 P1,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1961,11,Western Blot 蛋白表达验证,uses_sample,蛋白样本 P2,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1962,11,Western Blot 蛋白表达验证,produces_result,目标蛋白在处理组表达降低，内参条带稳定。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1963,11,Western Blot 蛋白表达验证,produces_result,处理组目标蛋白表达降低。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1964,36,论文演示项目：KG-RAG 实验流程,has_note,qPCR 定量验证实验,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1965,36,qPCR 定量验证实验,created_by,系统管理员,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1966,36,qPCR 定量验证实验,has_experiment_type,PCR,1,note,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1967,36,qPCR 定量验证实验,uses_reagent,SYBR Green Master Mix,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1968,36,qPCR 定量验证实验,uses_reagent,cDNA 模板,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1969,36,qPCR 定量验证实验,uses_reagent,引物对,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1970,36,qPCR 定量验证实验,uses_reagent,无酶水,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1971,36,qPCR 定量验证实验,uses_instrument,荧光定量 PCR 仪,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1972,36,qPCR 定量验证实验,uses_instrument,微量分光光度计,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1973,36,qPCR 定量验证实验,uses_sample,cDNA 样本 1,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1974,36,qPCR 定量验证实验,uses_sample,cDNA 样本 2,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1975,36,qPCR 定量验证实验,uses_sample,阴性对照,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1976,36,qPCR 定量验证实验,uses_sample,2,0.7,note_extraction,FP,对应已审核笔记的结构化字段、正文或基础元数据,
1977,36,qPCR 定量验证实验,produces_result,目标基因在样本 1 中表达量约为样本 2 的 2.3 倍，融解曲线单一峰。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
1978,36,qPCR 定量验证实验,produces_result,目标基因差异表达约 2.3 倍。,0.7,note_extraction,TP,对应已审核笔记的结构化字段、正文或基础元数据,
